Artista,Nome da Música,Letra da Música
Dorgival Dantas,Botando Pra Derreter,"Tem que ter aquele chameguinho
Quanto mais, pra mim, tiver, melhor
Tem que ser bem feito, com carinho
Com amor, muito jeitinho
Tem que ter muito suor

Tem que ter aquele remelexo
Senão ninguém tem o que dizer
Quando tô no meio de muita gente
Se botar, só boto quente
Só boto pra derreter
Quando tô no meio de muita gente
Se botar, só boto quente
Só boto pra derreter

Não, comigo não
Fazer papel de bobo comigo, dá certo não
Não sou besta não
Se alguém sequer pensar passar o dedo
Eu corto a mão
Não, comigo não
Fazer papel de bobo comigo, dá certo não
Não tá certo não
Se alguém sequer pensar passar o dedo
Eu corto a mão"
Dorgival Dantas,Calma Coração,"Calma, coração, calma, coração
Não aguento mais chorar
Tanta solidão, tanta solidão
Assim pode me matar



Eita, coração doído, coração sofrido
Coração cigano
Eita coração malvado, louco, sem juízo
Tô me acabando
Eita, coração sofrido, coração doído
Coração cigano
Eita coração teimoso, louco, maluvido
Tô me acabando

Eu perdi total controle da situação
Virei refém de vez, pra sempre, do meu coração
Ao ponto de não saber mais o que fazer

É, isso acontece quando a gente pensa que é o fim
E fica se sentindo como estou assim
Achando que não tem mais jeito pra amar

Por isso chora, chora, sofre, sofre
Chora, chora sem parar
Quando não chora, sofre, chora, chora
Sofre sem se controlar

Eita, coração ocioso
Não tem jeito de mudar
E o pior que além de teimoso
Não escolhe quem amar

Por isso chora, chora, sofre, sofre
Chora, chora sem parar
Quando não chora, sofre, chora, chora
Sofre sem se controlar

Se me ouvisse só um pouquinho
Pelo menos, só tentar
Tomar mais cuidado comigo
Eu mereço alguém pra amar

Calma, coração, calma, coração
Não aguento mais chorar
Tanta solidão, tanta solidão
Assim pode me matar (bis)"
Dorgival Dantas,Casa e Comida,"Casa, comida, roupa lavada e dinheiro
De bônus abraço, cheiro
Amor todo santo dia
E sem contar que, onde tiver um forró
A gente vai e dança até amanhecer

Que coisa boa, só alegria
Eu e você, você e eu todos os dias
(Que coisa boa, só alegria
Eu e você, você e eu todos os dias)

Casa, comida, roupa lavada e dinheiro
De bônus abraço, cheiro
Amor todo santo dia
E sem contar que, onde tiver um forró
A gente vai e dança até amanhecer

Que coisa boa, só alegria
Eu e você, você e eu todos os dias
(Que coisa boa, só alegria
Eu e você, você e eu todos os dias)

Em troca disso tudo que prometo pra você
Eu quero apenas um pouquinho de carinho
Faço tudo isso porque gosto de você
Você deixou meu coração doidinho
(Em troca disso tudo que prometo pra você
Eu quero apenas um pouquinho de carinho
Faço tudo isso porque gosto de você
Você deixou meu coração doidinho)"
Dorgival Dantas,Chega de Problemas,"Eu não quero mais nada com você
Chega de problemas, agora vou viver
Eu não quero mais nada com você
Chega de problemas, agora vou viver

Você pensava que eu não pudesse te esquecer
Usando disso, fez bagunça com meu coração
E só porque agora viu que você me perdeu
Fica querendo me agradar fazendo boa ação

É muito tarde, me desculpa, já te esqueci
Alguém pediu licença e conquistou o meu coração
Não adianta insistir, você não tem mais chance
Quer saber, já tô vivendo um novo lance

Eu não quero mais nada com você
Chega de problemas, agora vou viver
Eu não quero nada com você
Chega de problemas, agora vou viver



Você pensava que eu não pudesse te esquecer
Usando disso, fez bagunça com meu coração
E só porque agora viu que você me perdeu
Fica querendo me agradar, cheia de boa ação

É muito tarde, me desculpa, já te esqueci
Alguém pediu licença e conquistou o meu coração
Não adianta insistir, você não tem mais chance
Quer saber, já tô vivendo um novo lance

Eu não quero mais nada com você
Chega de problemas, agora vou viver
Eu não quero mais nada com você
Chega de problemas, agora vou viver"
Dorgival Dantas,"Chegue, Chegue","(Chegue, chegue, chegue)
Me abrace, me aperte e me beije
(Chegue, chegue, chegue)
Não deixe ninguém me pegar
(Chegue, chegue, chegue)
Me mata de amor e desejo
(Chegue, chegue, chegue)
O que é bom não pode parar (bis)

Vamos ficar sempre assim
Enquanto a gente viver
Se você gosta de mim
Eu quero fazer valer
Pra mim não tem tempo ruim
Sou cem por cento prazer
Me abraça, me aperte e me beije que eu quero você

(Chegue, chegue, chegue)
Me abrace, me aperte e me beije
(Chegue, chegue, chegue)
Não deixe ninguém me pegar
(Chegue, chegue, chegue)
Me mata de amor e desejo
(Chegue, chegue, chegue)
O que é bom não pode parar (bis)



(Chegue, chegue, chegue)
Me abrace, me aperte e me beije
(Chegue, chegue, chegue)
Não deixe ninguém me pegar
(Chegue, chegue, chegue)
Me mata de amor e desejo
(Chegue, chegue, chegue)
O que é bom não pode parar

Quero ficar sempre assim
Enquanto a gente viver
Se você gosta de mim
Eu quero fazer valer
Pra mim não tem tempo ruim
Sou cem por cento prazer
Me abrace, me aperte e me beije que eu quero você

(Chegue, chegue, chegue)
Me abrace, me aperte e me beije
(Chegue, chegue, chegue)
Não deixe ninguém me pegar
(Chegue, chegue, chegue)
Me mata de amor e desejo
(Chegue, chegue, chegue)
O que é bom não pode parar"
Dorgival Dantas,Chorando e Sofrendo,"Tô chorando, tô sofrendo só por causa de você
Se você não acredita vou chorar pra você ver
(Tô chorando, tô sofrendo só por causa de você
Se você não acredita vou chorar pra você ver)

Tô chorando, tô sofrendo
Tô sofrendo, tô chorando
Tô chorando, tô sofrendo
Ai, ai
Tô até quase morrendo
(Tô chorando, tô sofrendo
Tô sofrendo e tô chorando
Tô chorando, tô sofrendo)
Ai, ai
Tô até quase morrendo



Eu tô sofrendo, tô chorando só por causa de você
Mas se você não acredita vou chorar pra você ver
(Tô chorando, tô sofrendo só por causa de você
Se você não acredita vou chorar pra você ver)

Tô chorando, tô sofrendo
Tô sofrendo, tô chorando
Tô chorando, tô sofrendo
Ai, ai
Tô até quase morrendo
(Tô chorando, tô sofrendo
Tô sofrendo e tô chorando
Tô chorando, tô sofrendo)
Ai, ai
Tô até quase morrendo"
Dorgival Dantas,Como Vai Você,"Eu sei, você jamais irá me perdoar
Pelos meu erros vou ter que pagar
Mas eu queria tanto só saber
Como vai você?

Sei que errei, mas o meu erro eu posso consertar
Até porque não quis continuar
Eu só queria mesmo ficar com você
Somente com você

Mas você não me deu a chance pra mostrar
Quando mais precisei, eu não te encontrei
Você tentou achar felicidade em outros braços
Meu amor
Mas se quiser tentar, podemos esquecer
E tudo irá mudar isso você vai ver
Sabe por quê, amor? Você foi quem eu mais amei



Sei que errei, mas o meu erro eu posso consertar
Até porque não quis continuar
Eu só queria mesmo ficar com você
Somente com você

Mas você não me deu a chance pra provar
Quando mais precisei, eu não te encontrei
Você tentou achar felicidade em outros braços
Meu amor
Mas se quiser tentar, podemos esquecer
E tudo irá mudar isso você vai ver
Sabe por quê, amor? Você foi quem eu mais amei"
Dorgival Dantas,Contrato,"Eu proponho fazermos um trato
Pôr as regras no contrato
Pra nós dois agora
Ir direto daqui pro cartório
Eu te peço, te imploro
Vamos sem demora

Assim vai ficar tudo acordado
Registrado, assinado
Como promissória
Um juiz e dois advogados
Pra deixar tudo amarrado
Sem escapatória

Vinte cláusulas, dez suas e dez minhas
Todas bem explicadinhas
Num ex-papel branco
Obrigando-nos andar na linha
Sem pretexto de desculpa
Culpando barrancos

Seu amor por mim é abstrato
Argumentos contra fatos
Tão muito distante
Se você não quiser no contrato
Considere-se sem mim
De hoje por diante

Se você assinar o contrato
Que nunca vai me deixar
Eu fico acreditando
E todo amor que eu tiver vou lhe dar
Você vai ver que nossa história
Tá só começando
Se você assinar o contrato
Que nunca vai me deixar
Eu fico acreditando
Todo amor que eu tiver vou lhe dar
Você vai ver que nossa história
Tá só começando"
Dorgival Dantas,De um Abraço,"De um abraço, um beijo
Do beijo, a paixão
Da paixão, o amor no meu coração
Da saudade, o desejo
No desejo é que eu vejo
Que esse amor já virou loucura

Que vontade de ter você aqui
Bem pertinho de mim
Tô morrendo de saudade
Volta logo, não dá mais pra esperar
Não deixe o amor passar
Você sabe que eu te amo

Que é só teu meu coração
Eu nasci só pra te amar
Vem me tirar da solidão
Porque eu tenho tanto amor pra dar

Que é só teu meu coração
Eu nasci só pra te amar
(Vem me tirar da solidão)
Porque eu tenho tanto amor pra dar"
Dorgival Dantas,Do Forró Pra Casa,"Se você quiser eu vou te levar hoje num forró
Vai ser muito bom, vai ser bom demais
Eu não quero ir só
Quero ir com você pra ninguém dizer que me viu sozinho
Quero dançar bem agarrado, sentir seu corpo suado e aquele cheirinho

Depois da festa, a gente vai pra casa pra fazer amor
Você já me conhece sabe que não vou
Ficar por muito tempo, sem poder te amar
Até porque não tem nada de errado com nosso namoro
A gente nunca briga, nunca teve choro
Eu gosto de você, nasci só pra te amar"
Dorgival Dantas,É Amor,"É amor, é amor, é amor, é amor
Isso é amor
É amor, é amor, é amor, é amor
Isso é amor


Foi só você chegar pra eu ficar assim
Parado a te olhar, te querendo só pra mim

Sabe por quê? Eu te quero
E faz tempo que eu espero
Uma chance pra poder te dizer
Que te amo
Que faz parte dos meus planos ser feliz
Mas tem que ser com você

Ao seu lado
Ser amado, desejado
Qualquer coisa que me leve ao prazer
Exagerado
É o amor que sinto dentro do meu peito
Quando estou com você

Uôo... É amor, isso é amor
Uôo... É amor

Foi tão bom te conhecer, eu andava tão perdido
Mas você me conquistou
E me trouxe a paz quando cruzou o meu caminho

Uôo... É amor, isso é amor
Uôo... É amor


Foi tão bom te conhecer, eu andava tão perdido
Mas você me conquistou
E me trouxe a paz quando cruzou o meu caminho

Uôo... É amor, isso é amor
Uôo... É amor

É amor, é amor, é amor, é amor
Isso é amor
É amor, é amor, é amor, é amor
É amor, é amor, é amor, é amor
Isso é amor
É amor, é amor, é amor, é amor

É amor"
Dorgival Dantas,Eu Jamais Vou te Deixar,"Eu jamais vou te deixar
Eu te quero do meu lado
Nada vai nos separar
Eu estou apaixonado

Não me olhe desse jeito
Você sabe que eu te amo
Juntos somos tão perfeitos
Não me leve a mal
Mas eu não aceito
Se permitir você entrar na minha vida
Porque iria eu querer fazer você sofrer
Se eu te quero tanto assim
Você é a razão do meu viver
Como é que eu vou querer perder você

Eu jamais vou te deixar
Eu te quero do meu lado
Nada vai nos separar
Eu estou apaixonado(bis)

Se permitir você entrar na minha vida
Porque iria eu querer fazer você sofrer
Se eu te quero tanto assim
Você é a razão do meu viver
Como é que eu vou querer perder você

Eu jamais vou te deixar
Eu te quero do meu lado
Nada vai nos separar
Eu estou apaixonado(bis)"
Dorgival Dantas,Eu Procurei só Por Procurar,"Eu procurei, só por procurar
Mas eu sabia que não ia encontrar
Alguém melhor do que você
Tem certas coisas que não dá pra mudar
(x2)

Por que que agente tem que perder
Chorar, sofrer pra só então dá valor
Será que é tão difícil entender
Que não se deve desprezar um amor

Eu procurei, só por procurar
Mas eu sabia que não ia encontrar
Alguém melhor do que você
Tem certas coisas que não dá pra mudar

Por que que agente tem que perder
Chorar, sofrer pra só então dá valor
Será que é tão difícil entender
Que não se deve desprezar um amor

Eu procurei, só por procurar
Mas eu sabia que não ia encontrar
Alguém melhor do que você
Tem certas coisas que não dá pra mudar

Eu procurei, só por procurar"
Dorgival Dantas,Forró só Presta Assim,"Eu vou fazer uma banda
Só pra tocar forró
Quero que o mundo saiba
Que não tem nada melhor

Tome forró, tome forró, tome forró, tome forró!
Tome forró, tome forró, e quanto mais forró melhor!

O sanfoneiro fazendo firim, firim
O baterista fazendo burungundum
E o guitarrista fazendo tirin, dindim
E o baixista fazendo dum-dum, dum-dum

Dum-dum-dum-dum-dum
Pra mim só presta assim

Dum-dum-dum-dum-dum
Se não for assim é ruim"
Dorgival Dantas,Não tá Faltando Mais Nada,"Você aparecer na minha vida
Era tudo que eu precisava
Agora que você apareceu
Pra mim não tá faltando mais nada
Você aparecer na minha vida
Era tudo que eu precisava
Agora que você apareceu
Pra mim não tá faltando mais nada

Tem horas que penso que é um sonho
De tanto que eu sou feliz com você
Tenho medo de acordar e não ser verdade
Se for realidade, vou viver

Todo tempo que eu tiver só pra te amar
Te beija, te beijar
Eu te amo tanto que não dá pra explicar
Me beija, deixa eu te amar

Você aparecer na minha vida
Era tudo que eu precisava
Agora que você apareceu
Pra mim não tá faltando mais nada
Você aparecer na minha vida
Era o que eu mais precisava
Agora que você apareceu
Pra mim não tá faltando mais nada

Tem horas que penso que é um sonho
De tanto que eu sou feliz com você
Tenho medo de acordar e não ser verdade
Se for realidade, vou viver

Todo tempo que eu tiver só pra te amar
Te beija, te acariciar
Eu te amo tanto que não dá pra explicar
Vem me amar e me beijar

Você aparecer na minha vida
Era tudo que eu precisava
Agora que você apareceu
Pra mim não tá faltando mais nada
Você aparecer na minha vida
Era tudo que eu precisava
Agora que você apareceu
Pra mim não tá faltando mais nada

Era tudo que eu precisava
Agora que você apareceu
Pra mim não tá faltando mais nada
Você aparecer na minha vida
Era tudo que eu precisava
Agora que você apareceu
Pra mim não tá faltando mais nada

Tem horas que penso que é um sonho"
Dorgival Dantas,O Clima tá Legal,"O clima tá legal, a gente logo sente
O dia foi de sol, a noite vai ser envolvente
Aposto com você que hoje eu me dou bem
A minha intuição diz que não vai ser diferente
Você vai ver que hoje eu boto quente
Você vai ver que hoje eu boto quente

Chalalaralá lalalalalá eooh
Chalalaralá lalalalá ooh
Chalalaralá lalalalalá eooh
Chalalaralá ralaralá

Ah, meu coração amor
Ficou completamente apaixonado por você
Ah, o que é que eu vou fazer
Te amando desse jeito sem você corresponder
Mas deixa pra lá

Eu quero é amar, amar, amar a vida inteira
De segunda a sexta, de sexta a segunda-feira
Eu quero é amar, amar, amar a vida inteira
De segunda a sexta, de sexta a segunda-feira
(Eu quero é amar, amar, amar) a vida inteira
De segunda a sexta, de sexta a segunda-feira
(Eu quero é amar, amar, amar) a vida inteira
De segunda a sexta, de sexta a segunda-feira"
Dorgival Dantas,Olha a Barriguinha,"Olha a barriguinha
Olha a barriguinha
Vamos malhar pra não ficar barrigudinha

Olha a barriguinha
Olha a barriguinha
Vamos malhar pra não ficar barrigudinha

Agora vai, vai!
Joga a mão pra cima e grita vai, vai!
Todo mundo tá querendo mais! Vai!
Quero ouvir bem alto essa galera
Bate palma e dá grito!


Que emoção! Que emoção!
Contempla essa multidão
Galera esperta!
É gente boa, meu irmão!
Ninguém fica parado
Todo mundo tá ligado
Vamos nessa!
Esse é o som da malhação!

Para, para, para, para
Para, para, para, parararará"
Dorgival Dantas,Onde é Que Está?,"Onde é que está, aquele amor
Que você tinha pra me dar?
Onde é que está, com quem deixou
Não era meu você só quis me enganar

Onde é que está, aquele amor
Que você tinha pra me dar?
Onde é que está, com quem deixou
Não era meu você só quis me enganar

Eu bem que te avisei pra você não bulir comigo
Pra não correr o risco de você se machucar
Agora que tu tá sofrendo eu não ligo
Pois somente o castigo faz vocês se endireitar

Eu bem que te avisei pra você não bulir comigo
Pra não correr o risco de nós dois se machucar
Agora que tu tá sofrendo eu não ligo
Pois somente o castigo faz vocês se endireitar"
Dorgival Dantas,Ovo de Codorna,"Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz
(Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz)

Eu era fraco, não sabia o que fazer
Um amigo perguntou se eu queria melhorar
Falei que sim, ele então me aconselhou
Comer ovo de codorna no almoço e no jantar

Agora eu digo a mesma coisa pra você
Se o doutor não resolver
Eu tô aqui pra lhe ajudar
Agora eu digo a mesma coisa pra você
Se o doutor não resolver
Eu tô aqui pra lhe ajudar

Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz
(Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz)

Já foi provado que o problema é psicológico
Não é nada fisiológico e isso nunca vai mudar
E como diz o velho ditado do povo
Pra cavalo, capim novo faz o bicho levantar

Saia das drogas, faça o mesmo com você
Compre ovo pra comer que sua vida vai mudar
Saia das drogas, faça o mesmo com você
Compre ovo e vá comer que sua vida vai mudar

Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz
(Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz)



Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz
(Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz)

Já foi provado que o problema é psicológico
Não é nada fisiológico e isso nunca vai mudar
E como diz o velho ditado do povo
Pra cavalo, capim novo faz o bicho levantar

Saia das drogas, faça o mesmo com você
Compre ovo e vai comer que sua vida vai mudar
Saia das drogas, faça o mesmo com você
Compre ovo e vai comer que sua mulher vai gostar

Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz
(Ovo de codorna é bom demais
É bom demais, é bom demais
É bom pros ossos, limpa a vista, sobe tudo
O bichinho é abiúdo, pequenin, mas eficaz)"
Dorgival Dantas,Paixão Sem Compromisso,"Eu pensava que era amor
Tanto que me entreguei
Você me desperdiçou
Vejam só onde eu chequei
Fui à beira do limite
Nunca me precipitei
Mas você foi diferente
Fez loucuras e eu gostei
Me enganou tão facilmente
Como eu nunca me enganei
Entrou no meu consciente
Bagunçou e eu nem notei

Tem nada não, a vida é isso
Quem corre o risco pode ganhar ou perder
Uma paixão sem compromisso
Já deixa claro que alguém tem que sofrer

Pra que mudar radicalmente
Se tanta gente também já se enganou
Quem sabe se, bem lá na frente
Eu não encontre um grande amor"
Dorgival Dantas,Passei a Noite no Forró,"Ah, que bom seria a gente se encontrar
Na lua cheia, na beira do mar
Fazer amor até amanhecer
Ah, são tantas coisas que eu quero te dar
Quantas palavras tenho pra falar
Tô me guardando a tempo pra você

Eu me comportei, eu fui um bom rapaz
E sei que posso ser bem muito mais
E isso só depende de você
É, talvez exista outro igual a mim
Mas, pra gostar de você tanto assim
Eu desafio, até pago pra ver

Passei a noite no forró, dancei só com você
Aquilo tudo, pra mim, foi tão lindo
Foi tão bom, meu bem, te conhecer
Passei a noite no forró, dancei só com você
Aquilo tudo, pra mim, foi tão lindo
Foi tão bom, meu bem, te conhecer"
Dorgival Dantas,Pensando em Mim,"Hoje você pode até não me querer
Dizer que não gosta de mim
Mas na hora que eu olho pra você
Vejo que é só conversa, enfim
Até quando você vai me maltratar
Sabe muito bem que não resolve assim
Se deitar, fazer amor só por fazer
Pensando em mim, pensando em mim


Tô com vontade de te ver, de poder te abraçar
Da um beijo e te falar: fica comigo
Vejo o céu só pra nos dois
Pra que deixar pra depois um amor tão lindo?

Me deixa, de manhã, olhar o sol nascer
O brilho no teu rosto lindo a cada amanhecer
A força do amor vai nos ajudar... vencer
Não tem como fugir, então, pra que negar?
Já que eu estou aqui, você devia perdoar
Em nome do amor, pra o bem de nós dois

Hoje você pode até não me querer
Dizer que não gosta de mim
Mas na hora que eu olho pra você
Vejo que é só conversa, enfim
Até quando você vai se maltratar
Sabe muito bem que não resolve assim
Se deitar, fazer amor só por fazer
Pensando em mim, pensando em mim


Me deixa, de manhã, olhar o sol nascer
O brilho no teu rosto lindo a cada amanhecer
A força do amor vai nos ajudar... vencer
Não tem como fugir, também, pra que negar?
Já que eu estou aqui, você devia perdoar
Em nome do amor, pra o bem de nós dois

Hoje você pode até não me querer
Dizer que não gosta de mim
Mas na hora que eu olho pra você
Vejo que é só conversa, enfim
Até quando você vai se maltratar
Sabe muito bem que não resolve assim
Se deitar, fazer amor só por fazer
Pensando em mim, pensando em mim

Hoje você pode até não me querer
Dizer que não gosta de mim
Tá na cara, quando eu olho pra você
Vejo que é só conversa, enfim
Até quando você vai se maltratar
Sabe muito bem que não resolve assim
Se deitar, fazer amor só por fazer
Pensando em mim, pensando em mim

Tô com vontade de te ver"
Dorgival Dantas,Ponto Interrogado Não é Reticência,"Sabe aquele amor que a gente nunca esquece
E de vez em quando a gente para e lembra
Quando fecha os olhos, coração padece
Chora, se entristece que chega dá pena

É futuro e você diz que é passado
Mas qualquer um vê basta estar na presença
Não conheço alguém que fique controlado
Quando está ao lado da sua carência
Aquela pessoa que você mais ama
Que tanto pertuba sua consciência(2x)

Já gostei de muita gente nessa vida
Mas somente hoje vejo a diferença
Você foi amor logo à primeira vista
Pena que eu não tinha muita experiência
Se eu pudesse voltaria no passado
Tomava cuidado com mais coerência
Corrigia tudo que eu fiz de errado
Ponto interrogado não é reticência
Meu futuro, meu presente e o meu passado
Conjugando tudo só da penitência(2x)

Desde aquele dia que te vi de novo
Que fiquei pensando se era coincidência
Você no mesmo local que eu estava
Só que era o destino fazendo exigência
Seu rosto parado ali na minha frente
Não me dava chance de pensar em nada
Você me olhava percebendo tudo
Quanto eu mais fugia mais me entregava
Amor desse jeito não é brincadeira
Se fosse eu te juro, eu não te amava (3x)"
Dorgival Dantas,Por Que Não Liga Pra Mim?,"Laia, lara
Lara, lara

Por que não liga pra mim pra saber como estou?
Se eu estou sofrendo
Ou pelo menos dizer como anda você
Já faz algum tempo

Eu só queria saber, mas se for ruim pra você
Eu vou me afastar de vez de você
Não vou mais ligar, vou te esquecer
Mesmo sabendo que vou chorar demais
Que muito vou sofrer ou, quem sabe, até morrer

Nem sempre a gente acerta no amor
Quem ganha também poderá perder
Do jeito que você me abandonou
Amanhã também pode ser você
De tudo que alguém pode fazer
Eu fiz mas não deu certo, foi em vão
Só resta mesmo tentar esquecer
Tirar você de vez do coração


Eu só queria saber, mas se for ruim pra você
Eu vou me afastar de vez de você
Não vou mais ligar, vou te esquecer
Mesmo sabendo que vou chorar demais
Que muito vou sofrer ou, quem sabe, até morrer

Nem sempre a gente acerta no amor
Quem ganha também poderá perder
Do jeito que você me abandonou
Amanhã também pode ser você
De tudo que alguém pode fazer
Eu fiz mas não deu certo, foi em vão
Só resta mesmo tentar esquecer
Tirar você de vez do coração

Nem sempre a gente acerta no amor
Quem ganha também poderá perder
Do jeito que você me abandonou
Amanhã também pode ser você
De tudo que alguém pode fazer
Eu fiz mas não deu certo, foi em vão
Só resta mesmo tentar esquecer
Tirar você de vez do coração


Laia, lara"
Dorgival Dantas,Prece Pra Maria,"Eu vou fazer uma prece pra Maria
Maria, mãe do nosso salvador
Eu vou fazer uma prece pra Maria
Maria, mãe do nosso salvador

Pra me proteger de noite e de dia
Pra derramar sobre mim o seu amor
Pra me dar força, fé e esperança
Saúde, muita paz e muito amor

Maria, minha vida
Maria minha flor
Maria concebida
Mãe de nosso Senhor
Maria sem pecado
Maria sem rancor
Me guarda, que sempre contigo estou"
Dorgival Dantas,Prometa-me,"Ninguém faz idéia do que eu estou passando
Estou sofrendo demais
Só quem me conheçe vê que não estou brincando
Olha, eu te amo demais

Prepare um tempinho pra ficar a sós comigo
Pra você entender
Tenho tantas coisas pra falar, mas nãon consigo
Ou mesmo te dizer

Quando você me encontrar
Me chame pra sair
Qualquer lugar contigo eu vou
Prometo fazer tudo, tudo que você quiser
Dá todo meu carinho
E dá todo meu amor

Prometa-me
Eu lhe prometo, prometo te dar todo o meu amor
Prometa-me
Eu lhe prometo, aonde você for eu também vou"
Dorgival Dantas,Quanto Custa?,"Quanto custa?
Um beijo seu, fala pra mim
Quanto custa?
Pra ter você perto de mim
Quanto custa?
Pra você ficar só comigo e mais ninguém

Quanto custa?
Pra a gente não se separar
Quanto custa?
Pra nunca nem sequer brigar
Quanto custa?
Pra ter você constantemente nos meus braços

Eu pago qualquer preço pra você
Nem que eu tenha que morrer devendo
Gastei os créditos do meu coração
De empréstimo em empréstimo tô sobrevivendo

Se você quiser, pode se aproveitar
Mesmo que eu não possa, tentarei pagar
Se no fim das contas rolar um desconto
Quitarei meu débito e você vai me amar

Se você quiser, pode se aproveitar
Mesmo que eu não possa, tentarei pagar
Se no fim das contas rolar um desconto
Quitarei meu débito e você vai me amar"
Dorgival Dantas,Só Não Diga Bye Bye,"Por onde será que anda você? Eu não sei
Faz tempo que a gente não se vê, eu pensei

Eu guardo tantas lembranças comigo
Lembra da primeira vez?
De vez em quando ainda sonho contigo
Com tudo que a gente fez

Estou carente você não sente, mas vou dizer
Fala comigo, diz qualquer coisa só por dizer

Só não diga bye bye, não, não, não
Não me faça sofrer, yeah, yeah, yeah
Só não diga bye bye não, não, não
Não me faça sofrer"
Dorgival Dantas,Sou Mais eu,"Você é a prova viva
Que querer não é poder
Pôs desgosto em minha vida
Tô vivendo por viver

Vou embora da cidade
Só pra nunca mais te ver
Antes que essa saudade
Me consuma até morrer
Antes que essa saudade
Me consuma até morrer

Pra mim tudo tem limite
Eu não quero te julgar
Mas, arrisco no palpite
E quando você tornar
Mesmo com outra pessoa
Saberá o que perdeu

Olha me desculpe
Não se chateie, meu benzinho
Mas, eu sou mais eu

Me desculpe
Não se chateie, meu benzinho
Mas, eu sou mais eu

Sou mais eu, meu amor
Comparando eu sou mais eu"
Dorgival Dantas,Tá do Jeito Que eu Queria,"Tá, tá, tá do jeito que eu queria
Tá, tá, não podia tá melhor
Tá, tá, hoje eu amanheço o dia
Nunca vi tanta alegria
Tanta gente no forró
(Tá, tá, tá do jeito que eu queria
Tá, tá, não podia tá melhor
Tá, tá, tá, hoje eu amanheço o dia
Nunca vi tanta alegria
Tanta gente no forró)

Se apagar a luz, a gente acende o candeeiro
E diz pro sanfoneiro pra não parar de tocar
Ficar no caquiado só no som da sanfoninha
Que hoje a noite todinha vai ser toda pra dançar

Um forró como esse, meu amigo, eu nunca vi
Pode ter parecido, mas não é como esse aqui

Forró, pra mim, tem que ter um bom sanfoneiro
Zabumbeiro, triangueiro
Pro mundo inteiro aplaudir
(Forró, pra mim, tem que ter um bom sanfoneiro
Zabumbeiro, triangueiro
Pro mundo inteiro aplaudir)"
Dorgival Dantas,Tá na Cara,"Ta na cara
Que eu não sou nada pra você
Ta na cara
Você não gosta mais de mim

tá por fora
Você não vai me convencer
Vá embora
Vai ser muito melhor assim

Se você ficar
Vai me fazer sofrer, fazer chorar
Não vê que não dá
Viver contigo sem poder te amar

Te abraçar, ficar chorando perto de você
Talvez um tempo longe,
Meu coração não quer mais viver
Na solidão, cansou de sofrer, por você...

Ta na cara
Que eu não sou nada pra você
Ta na cara
Você não gosta mais de mim

Cai fora
Você não vai me convencer
Vá embora
Vai ser muito melhor assim

Se você ficar
Vai me fazer sofrer, fazer chorar
Não vê que não dá
Viver contigo sem poder te amar

Te abraçar, ficar chorando perto de você
Talvez um tempo longe,
Meu coração cansou de viver
Na solidão, não quer mais sofrer, por você..."
